config_id,hidden_dims,dropout,batchnorm,early_stopping,cross_val,accuracy,precision,recall,f1_score,specificity,specificity_per_class,precision_adenocarcinoma,recall_adenocarcinoma,f1_adenocarcinoma,precision_benigno,recall_benigno,f1_benigno,precision_carcinoma squamoso,recall_carcinoma squamoso,f1_carcinoma squamoso,test_accuracy,test_precision,test_recall,test_f1_score,test_specificity,test_specificity_per_class,conf_matrix,conf_matrix_test,test_precision_adenocarcinoma,test_precision_benigno,test_precision_carcinoma squamoso,test_recall_adenocarcinoma,test_recall_benigno,test_recall_carcinoma squamoso,test_f1_adenocarcinoma,test_f1_benigno,test_f1_carcinoma squamoso
1,[64],0.0,False,True,True,74.60604315705987,0.743618063684972,0.74663120714752,0.7447758655185691,0.8729006229045698,"0.8400,0.9439,0.8347",0.6596910812157449,0.6189808321645629,0.6386878919440424,0.890582347588717,0.9229137199434229,0.9064598286640426,0.6805807622504537,0.6979990693345742,0.6891798759476223,87.6888888888889,0.8795367716538561,0.8765463541463743,0.8776648008312337,0.9385482474054104,"0.8958,0.9946,0.9252","[array([2648,  315, 1315], dtype=int64), array([ 234, 3915,   93], dtype=int64), array([1132,  166, 3000], dtype=int64)]","[array([636,   7, 110], dtype=int64), array([ 42, 713,   3], dtype=int64), array([114,   1, 624], dtype=int64)]",0.803030303030303,0.9889042995839112,0.8466757123473542,0.8446215139442231,0.9406332453825857,0.8443843031123139,0.8233009708737864,0.9641649763353617,0.8455284552845529
2,[128],0.1,False,True,True,75.81531368941063,0.7565058774744206,0.7587042786963032,0.7575086122044933,0.8789583848549798,"0.8388,0.9473,0.8508",0.6701006229036895,0.6538101916783544,0.6618551822053952,0.8964490263459336,0.9224422442244224,0.9092599047287092,0.7029679831736387,0.699860400186133,0.7014107496793751,88.22222222222223,0.8842563713004467,0.8821777935709703,0.881720270908132,0.9413067328270565,"0.9345,0.9926,0.8968","[array([2797,  276, 1205], dtype=int64), array([ 263, 3913,   66], dtype=int64), array([1114,  176, 3008], dtype=int64)]","[array([587,  10, 156], dtype=int64), array([ 28, 730,   0], dtype=int64), array([ 70,   1, 668], dtype=int64)]",0.8569343065693431,0.9851551956815114,0.8106796116504854,0.7795484727755644,0.9630606860158312,0.9039242219215156,0.8164116828929068,0.9739826551034023,0.854766474728087
3,"[128, 64]",0.3,False,True,True,75.85414481737287,0.7582550594321514,0.7590717975348357,0.7576584327584891,0.8791142346733256,"0.8573,0.9588,0.8212",0.6833766233766234,0.615007012622721,0.6473917322834646,0.9180023228803716,0.9316360207449317,0.9247689247689248,0.6733862320394596,0.7305723592368544,0.7008146412230778,89.60000000000001,0.896821402914838,0.895786566226994,0.8961814139605551,0.948107018253107,"0.9212,0.9933,0.9298","[array([2631,  213, 1434], dtype=int64), array([ 201, 3952,   89], dtype=int64), array([1018,  140, 3140], dtype=int64)]","[array([637,  10, 106], dtype=int64), array([ 32, 726,   0], dtype=int64), array([ 86,   0, 653], dtype=int64)]",0.8437086092715231,0.9864130434782609,0.8603425559947299,0.8459495351925631,0.9577836411609498,0.8836265223274695,0.8448275862068966,0.9718875502008032,0.8718291054739653
4,"[128, 64]",0.3,True,True,True,78.63153675581279,0.7860027445369827,0.7867466955762451,0.7857026953852738,0.893029069429217,"0.8692,0.9606,0.8493",0.7164254887027164,0.6596540439457691,0.6868686868686869,0.921138590760616,0.9306930693069307,0.925891181988743,0.720444154147616,0.7698929734760354,0.7443482172983916,90.71111111111111,0.908704308181515,0.9071075434275772,0.9070759077186038,0.9537063216270601,"0.9439,0.9966,0.9206","[array([2822,  232, 1224], dtype=int64), array([ 234, 3948,   60], dtype=int64), array([ 883,  106, 3309], dtype=int64)]","[array([629,   5, 119], dtype=int64), array([ 29, 728,   1], dtype=int64), array([ 55,   0, 684], dtype=int64)]",0.8821879382889201,0.9931787175989086,0.8507462686567164,0.8353253652058433,0.9604221635883905,0.925575101488498,0.8581173260572987,0.9765258215962441,0.8865845755022683
5,"[256, 128]",0.5,True,True,True,79.40381633993414,0.7938088649832696,0.7944463789959656,0.7925398440364683,0.896893366338777,"0.8862,0.9586,0.8459",0.7411451398135819,0.6505376344086021,0.6928918212373958,0.9181650530198248,0.9389438943894389,0.9284382284382284,0.7221164021164022,0.7938576081898557,0.7562894824337804,90.57777777777778,0.90721237835757,0.9057346709600367,0.9057949421610519,0.9530370020588733,"0.9405,0.9973,0.9212","[array([2783,  227, 1268], dtype=int64), array([ 214, 3983,   45], dtype=int64), array([ 758,  128, 3412], dtype=int64)]","[array([630,   4, 119], dtype=int64), array([ 29, 729,   0], dtype=int64), array([ 60,   0, 679], dtype=int64)]",0.8762169680111266,0.9945429740791268,0.8508771929824561,0.8366533864541833,0.9617414248021108,0.918809201623816,0.8559782608695652,0.9778672032193159,0.8835393623942746
6,"[512, 256, 128]",0.5,True,True,True,79.396095157111,0.7951309253439346,0.7943317723715002,0.7935149370750004,0.8968426623889819,"0.8785,0.9667,0.8454",0.7310880829015544,0.6596540439457691,0.6935364954534283,0.9322114245081773,0.9271570014144271,0.929677343103652,0.7220932686220721,0.7961842717543043,0.7573309726679208,90.26666666666667,0.906305761389036,0.902800759533013,0.9021709520603833,0.9515325404780391,"0.9552,0.9960,0.9034","[array([2822,  192, 1264], dtype=int64), array([ 256, 3933,   53], dtype=int64), array([ 782,   94, 3422], dtype=int64)]","[array([602,   6, 145], dtype=int64), array([ 27, 730,   1], dtype=int64), array([ 40,   0, 699], dtype=int64)]",0.8998505231689088,0.9918478260869565,0.8272189349112427,0.799468791500664,0.9630606860158312,0.945872801082544,0.8466947960618847,0.9772423025435074,0.8825757575757576
7,"[512, 256, 128]",0.7,True,True,True,80.03591247824707,0.799860210339015,0.8007562252325379,0.7992472547693595,0.9000597976742548,"0.8836,0.9607,0.8559",0.7418852246169826,0.6678354371201496,0.7029154877598721,0.9220087942605878,0.9391796322489392,0.9305150064229826,0.7356866121394748,0.7952536063285249,0.7643112701252236,90.48888888888888,0.9085957763335611,0.9050535132694546,0.904437056258874,0.9526404351662938,"0.9559,0.9966,0.9054","[array([2857,  227, 1194], dtype=int64), array([ 224, 3984,   34], dtype=int64), array([ 770,  110, 3418], dtype=int64)]","[array([605,   5, 143], dtype=int64), array([ 30, 728,   0], dtype=int64), array([ 36,   0, 703], dtype=int64)]",0.9016393442622951,0.9931787175989086,0.8309692671394799,0.8034528552456839,0.9604221635883905,0.9512855209742895,0.8497191011235955,0.9765258215962441,0.8870662460567823
8,"[512, 256, 128, 64]",0.5,True,True,True,79.29470023123984,0.7919622999530266,0.7933744876115624,0.791544545324992,0.8963536823050693,"0.8808,0.9569,0.8514",0.7340647857889238,0.65684899485741,0.693313594867999,0.9150791829240303,0.9398868458274399,0.9273171298988254,0.7267429311461256,0.7833876221498371,0.7540029112081513,90.8,0.911181189468997,0.9081048320779285,0.9079327361071203,0.9541863342833915,"0.9519,1.0000,0.9107","[array([2810,  241, 1227], dtype=int64), array([ 216, 3987,   39], dtype=int64), array([ 802,  129, 3367], dtype=int64)]","[array([619,   0, 134], dtype=int64), array([ 30, 727,   1], dtype=int64), array([ 42,   0, 697], dtype=int64)]",0.8958031837916064,1.0,0.8377403846153846,0.8220451527224436,0.9591029023746702,0.9431664411366711,0.8573407202216067,0.9791245791245792,0.887332908975175
9,"[1024, 512, 256]",0.5,True,True,True,78.77209454355544,0.7874007554169321,0.788131752472497,0.7867556398600764,0.8937314903271134,"0.8741,0.9597,0.8474",0.7217908902691511,0.6519401589527817,0.6850896585605503,0.9194412107101281,0.9309288071664309,0.9251493498887197,0.7209701652715175,0.7815262912982782,0.750027911130959,90.22222222222223,0.9065962795374559,0.902366845818186,0.9019945311346781,0.9513239194510911,"0.9546,0.9993,0.9001","[array([2789,  236, 1253], dtype=int64), array([ 246, 3949,   47], dtype=int64), array([ 829,  110, 3359], dtype=int64)]","[array([604,   1, 148], dtype=int64), array([ 28, 727,   3], dtype=int64), array([ 40,   0, 699], dtype=int64)]",0.8988095238095238,0.9986263736263736,0.8223529411764706,0.8021248339973439,0.9591029023746702,0.945872801082544,0.847719298245614,0.9784656796769852,0.8797986154814349
10,"[1024, 512, 256, 128]",0.6,True,True,True,79.41960261321105,0.7949164029652239,0.7945712207330552,0.7938838522469244,0.8969656310036221,"0.8742,0.9656,0.8511",0.7264391237901172,0.6666666666666666,0.6952705997074597,0.9301609848484849,0.9262140499764262,0.9281833215213796,0.7281491002570694,0.7908329455560726,0.758197635511934,90.26666666666667,0.9061323321110827,0.9028128133722602,0.9025085616073484,0.9515252097922082,"0.9492,0.9987,0.9067","[array([2852,  199, 1227], dtype=int64), array([ 271, 3929,   42], dtype=int64), array([ 803,   96, 3399], dtype=int64)]","[array([610,   2, 141], dtype=int64), array([ 35, 723,   0], dtype=int64), array([ 41,   0, 698], dtype=int64)]",0.8892128279883382,0.9972413793103448,0.831942789034565,0.8100929614873837,0.9538258575197889,0.9445196211096076,0.8478109798471161,0.9750505731625084,0.8846641318124208
