config_id,hidden_dims,dropout,batchnorm,early_stopping,cross_val,accuracy,precision,recall,f1_score,specificity,specificity_per_class,precision_adenocarcinoma,recall_adenocarcinoma,f1_adenocarcinoma,precision_benigno,recall_benigno,f1_benigno,precision_carcinoma squamoso,recall_carcinoma squamoso,f1_carcinoma squamoso,test_accuracy,test_precision,test_recall,test_f1_score,test_specificity,test_specificity_per_class,conf_matrix,conf_matrix_test,test_precision_adenocarcinoma,test_precision_benigno,test_precision_carcinoma squamoso,test_recall_adenocarcinoma,test_recall_benigno,test_recall_carcinoma squamoso,test_f1_adenocarcinoma,test_f1_benigno,test_f1_carcinoma squamoso
1,[64],0.0,False,True,True,72.54637122667896,0.725067778392928,0.7261305425716881,0.7254255766637518,0.8625924435775406,"0.8057,0.9468,0.8352",0.6228688338258696,0.6404862085086489,0.6315546847988937,0.8942731277533039,0.9092409240924092,0.9016949152542373,0.6580613735996104,0.6286644951140065,0.6430271299381247,86.26666666666667,0.8636149325872374,0.862441670280171,0.8627269643550757,0.9314835058583082,"0.9031,0.9879,0.9034","[array([2740,  260, 1278], dtype=int64), array([ 259, 3857,  126], dtype=int64), array([1400,  196, 2702], dtype=int64)]","[array([590,  18, 145], dtype=int64), array([ 39, 718,   1], dtype=int64), array([106,   0, 633], dtype=int64)]",0.8027210884353742,0.9755434782608695,0.8125802310654685,0.7835325365205843,0.9472295514511874,0.8565629228687416,0.793010752688172,0.9611780455153949,0.83399209486166
2,[128],0.1,False,True,True,72.96769763884586,0.7275744671477286,0.7303196484151687,0.7288342140275712,0.8647058235693147,"0.8192,0.9417,0.8332",0.6330798479087453,0.6227208976157083,0.6278576478906435,0.8859749144811858,0.9158415841584159,0.9006607163556277,0.6636686390532545,0.652396463471382,0.6579842778364425,86.62222222222222,0.8672670968863176,0.8660792799902403,0.8653531140440975,0.9333066790307661,"0.9238,0.9866,0.8895","[array([2664,  290, 1324], dtype=int64), array([ 260, 3885,   97], dtype=int64), array([1284,  210, 2804], dtype=int64)]","[array([569,  20, 164], dtype=int64), array([ 24, 731,   3], dtype=int64), array([ 90,   0, 649], dtype=int64)]",0.8330893118594437,0.9733688415446072,0.7953431372549019,0.7556440903054449,0.9643799472295514,0.878213802435724,0.7924791086350975,0.9688535453943009,0.8347266881028939
3,"[128, 64]",0.3,False,True,True,72.99125378983165,0.7258079143565056,0.7305988152313808,0.7278364068047782,0.8648319699789416,"0.8253,0.9355,0.8337",0.6371595330739299,0.6124357176250584,0.6245530393325387,0.8770837963991999,0.9302215935879302,0.90287152499714,0.663180413596387,0.649139134481154,0.656084656084656,86.75555555555555,0.8693768564507333,0.867142982900354,0.8680773185741727,0.933904492114415,"0.8931,0.9940,0.9146","[array([2620,  310, 1348], dtype=int64), array([ 227, 3946,   69], dtype=int64), array([1265,  243, 2790], dtype=int64)]","[array([617,   9, 127], dtype=int64), array([ 35, 721,   2], dtype=int64), array([125,   0, 614], dtype=int64)]",0.7940797940797941,0.9876712328767123,0.8263795423956931,0.8193891102257637,0.9511873350923483,0.8308525033829499,0.8065359477124183,0.9690860215053764,0.8286099865047234
4,"[128, 64]",0.3,True,True,True,75.28479203936007,0.7498144654324017,0.7534096327862799,0.7502383292879783,0.8762931596525295,"0.8612,0.9415,0.8262",0.6844207723035952,0.6007480130902291,0.6398605751275986,0.8878212290502794,0.9365865157944366,0.9115521394975336,0.6772013949433304,0.7228943694741741,0.6993022732388026,88.62222222222222,0.8867913170695846,0.8859886662553552,0.8861919725768826,0.9432439754020775,"0.9198,0.9920,0.9179","[array([2570,  293, 1415], dtype=int64), array([ 203, 3973,   66], dtype=int64), array([ 982,  209, 3107], dtype=int64)]","[array([618,  11, 124], dtype=int64), array([ 29, 729,   0], dtype=int64), array([ 91,   1, 647], dtype=int64)]",0.8373983739837398,0.9838056680161943,0.8391699092088197,0.8207171314741036,0.9617414248021108,0.8755074424898511,0.8289738430583501,0.9726484322881921,0.856953642384106
5,"[256, 128]",0.5,True,True,True,75.13654045966754,0.7486495807031882,0.7519707990983967,0.7500958113878212,0.8755624957811737,"0.8382,0.9439,0.8446",0.6648884578079535,0.6409537166900421,0.6527017376815044,0.8913485430313982,0.9302215935879302,0.9103702849232899,0.6897117412702133,0.6847370870172174,0.687215411558669,87.86666666666667,0.8818301687876238,0.8786874686107651,0.8783455440570833,0.9395490081994335,"0.9332,0.9953,0.8901","[array([2742,  288, 1248], dtype=int64), array([ 220, 3946,   76], dtype=int64), array([1162,  193, 2943], dtype=int64)]","[array([581,   6, 166], dtype=int64), array([ 34, 724,   0], dtype=int64), array([ 66,   1, 672], dtype=int64)]",0.8531571218795888,0.9904240766073872,0.801909307875895,0.7715803452855245,0.9551451187335093,0.9093369418132612,0.810320781032078,0.9724647414372062,0.8522511097019657
6,"[512, 256, 128]",0.5,True,True,True,75.51102239173454,0.7529969767426747,0.7556246793800083,0.7518904978687315,0.8774168189854402,"0.8710,0.9430,0.8183",0.6934631432545202,0.5827489481065918,0.6333036961768068,0.8902603231597845,0.9351720886374352,0.9121637157967348,0.6752674638137193,0.7489530013959982,0.710204081632653,88.97777777777777,0.8900874622000045,0.8894596725140439,0.8897239380176741,0.9450026217483769,"0.9178,0.9920,0.9252","[array([2493,  306, 1479], dtype=int64), array([ 206, 3967,   69], dtype=int64), array([ 896,  183, 3219], dtype=int64)]","[array([629,  11, 113], dtype=int64), array([ 25, 733,   0], dtype=int64), array([ 98,   1, 640], dtype=int64)]",0.836436170212766,0.9838926174496644,0.849933598937583,0.8353253652058433,0.9670184696569921,0.8660351826792964,0.8358803986710963,0.9753825681969395,0.8579088471849866
7,"[512, 256, 128]",0.7,True,True,True,75.13661654542655,0.7496458567197871,0.751904936250972,0.7500215853750607,0.8755412873757238,"0.8506,0.9492,0.8269",0.6719794344473008,0.6110331930808789,0.6400587659157688,0.900068760027504,0.9257425742574258,0.9127251597908193,0.6768893756845564,0.7189390414146114,0.6972808304185941,88.62222222222222,0.8884924808406365,0.8859398439785124,0.8869142727633293,0.9432161892187034,"0.9045,0.9966,0.9285","[array([2614,  261, 1403], dtype=int64), array([ 243, 3927,   72], dtype=int64), array([1033,  175, 3090], dtype=int64)]","[array([640,   5, 108], dtype=int64), array([ 41, 717,   0], dtype=int64), array([102,   0, 637], dtype=int64)]",0.8173690932311622,0.9930747922437673,0.8550335570469799,0.849933598937583,0.945910290237467,0.8619756427604871,0.8333333333333334,0.9689189189189189,0.8584905660377359
8,"[512, 256, 128, 64]",0.5,True,True,True,75.20686196156392,0.7485272130668436,0.752637831845436,0.7495017710111718,0.87590927594972,"0.8561,0.9399,0.8317",0.6778505897771953,0.6044880785413744,0.6390708019275917,0.8851983950066875,0.9361150400754361,0.9099450045829515,0.6825326544166482,0.7173103769194974,0.6994895065229723,87.95555555555555,0.8787360392193659,0.879318986105169,0.8783272405462945,0.9399132244653042,"0.9292,0.9799,0.9107","[array([2586,  317, 1375], dtype=int64), array([ 212, 3971,   59], dtype=int64), array([1017,  198, 3083], dtype=int64)]","[array([589,  29, 135], dtype=int64), array([ 16, 742,   0], dtype=int64), array([ 90,   1, 648], dtype=int64)]",0.8474820143884892,0.961139896373057,0.8275862068965517,0.7822045152722443,0.978891820580475,0.8768606224627875,0.81353591160221,0.9699346405228758,0.8515111695137977
9,"[1024, 512, 256]",0.5,True,True,True,75.0664076504535,0.7493758581915957,0.7512210762909572,0.7501125102601174,0.875194452249615,"0.8383,0.9511,0.8362",0.6616854483096521,0.631369798971482,0.6461722488038277,0.9032109032109032,0.9217350306459218,0.9123789522809473,0.6832312230542319,0.7005583992554677,0.6917863296955773,88.88888888888889,0.8882843131839165,0.8885936437166672,0.8884036495281444,0.9445323980565029,"0.9212,0.9826,0.9298","[array([2701,  261, 1316], dtype=int64), array([ 252, 3910,   80], dtype=int64), array([1129,  158, 3011], dtype=int64)]","[array([622,  25, 106], dtype=int64), array([ 23, 735,   0], dtype=int64), array([ 95,   1, 643], dtype=int64)]",0.8405405405405405,0.9658344283837057,0.8584779706275033,0.8260292164674635,0.9696569920844327,0.8700947225981055,0.8332217012726055,0.967741935483871,0.864247311827957
10,"[1024, 512, 256, 128]",0.6,True,True,True,75.6046565701879,0.7520452324392805,0.7566361580758683,0.7536706701464256,0.8779150327945707,"0.8519,0.9367,0.8452",0.6795034203192298,0.6269284712482468,0.6521580547112462,0.879920389208315,0.938000942951438,0.9080328617069832,0.6967118877902966,0.70497906002792,0.7008210940210478,88.3111111111111,0.8870691330699542,0.8828874741239364,0.8842982147078201,0.9416584380360217,"0.8965,0.9993,0.9292","[array([2682,  329, 1267], dtype=int64), array([ 211, 3979,   52], dtype=int64), array([1054,  214, 3030], dtype=int64)]","[array([645,   1, 107], dtype=int64), array([ 54, 704,   0], dtype=int64), array([101,   0, 638], dtype=int64)]",0.80625,0.9985815602836879,0.8563758389261745,0.8565737051792829,0.9287598944591029,0.8633288227334236,0.8306503541532517,0.9624060150375939,0.8598382749326146
11,"[1024, 512, 256, 128, 64]",0.6,True,True,True,75.4954491585828,0.7541551136845032,0.7556033360954532,0.7540266010890596,0.8773797164768236,"0.8167,0.9436,0.8718",0.6526853084775854,0.687470780738663,0.6696265938069217,0.8905720099479991,0.9285714285714286,0.9091748413156376,0.7192080226279249,0.650767798976268,0.6832783681446195,85.95555555555555,0.867042043163805,0.8586009233884134,0.8592248073142352,0.9297733048560111,"0.8530,0.9853,0.9510","[array([2941,  282, 1055], dtype=int64), array([ 266, 3939,   37], dtype=int64), array([1299,  202, 2797], dtype=int64)]","[array([658,  21,  74], dtype=int64), array([ 30, 728,   0], dtype=int64), array([190,   1, 548], dtype=int64)]",0.7494305239179955,0.9706666666666667,0.8810289389067524,0.8738379814077025,0.9604221635883905,0.7415426251691475,0.8068669527896996,0.9655172413793104,0.8052902277736959
12,"[1024, 512, 256, 128, 64]",0.7,True,True,True,73.53716606721233,0.7466229074539111,0.7362214815850471,0.7325031834058812,0.8676000591572435,"0.7472,0.9500,0.9056",0.6002592112571746,0.7578307620383357,0.6699039156937701,0.9012430939226519,0.9229137199434229,0.9119496855345912,0.738366417181907,0.5279199627733829,0.6156559489892823,86.8,0.8721662506157305,0.8672888443915482,0.8682620678317802,0.9340470939053028,"0.8724,0.9906,0.9391","[array([3242,  255,  781], dtype=int64), array([ 304, 3915,   23], dtype=int64), array([1855,  174, 2269], dtype=int64)]","[array([648,  13,  92], dtype=int64), array([ 33, 725,   0], dtype=int64), array([158,   1, 580], dtype=int64)]",0.7723480333730631,0.9810554803788903,0.8630952380952381,0.8605577689243028,0.9564643799472295,0.7848443843031123,0.8140703517587939,0.9686038744154977,0.8221119773210489
13,"[1024, 512, 256, 128, 64, 32]",0.5,True,True,True,73.75592175462282,0.733281233842194,0.7381450796582003,0.7322022862120505,0.8686560244483513,"0.8718,0.9235,0.8107",0.6823324630113142,0.5497896213183731,0.6089320388349515,0.8587424633936261,0.9401225836869401,0.8975917173081251,0.6587687751216417,0.7245230339692881,0.6900831024930748,88.22222222222223,0.882270391206847,0.8820793310979494,0.8813421155083846,0.9412598963424115,"0.9312,0.9839,0.9087","[array([2352,  382, 1544], dtype=int64), array([ 185, 3988,   69], dtype=int64), array([ 910,  274, 3114], dtype=int64)]","[array([592,  23, 138], dtype=int64), array([ 23, 735,   0], dtype=int64), array([ 80,   1, 658], dtype=int64)]",0.8517985611510791,0.9683794466403162,0.8266331658291457,0.7861885790172642,0.9696569920844327,0.8903924221921515,0.8176795580110497,0.9690177982860909,0.857328990228013
14,"[1024, 512, 256, 128, 64, 32]",0.6,True,True,True,73.27188241645936,0.7482478482062951,0.7336156293061061,0.7286396616748521,0.8662823112519008,"0.7329,0.9494,0.9165",0.5916577157178661,0.7725572697522206,0.6701135442011354,0.9003901767271059,0.9247996228194248,0.9124316781021049,0.7526956521739131,0.5034899953466728,0.603373762721316,84.4888888888889,0.8589752021213748,0.8437141450538358,0.8444805557178866,0.9224229926989929,"0.8230,0.9906,0.9537","[array([3305,  266,  707], dtype=int64), array([ 315, 3923,    4], dtype=int64), array([1966,  168, 2164], dtype=int64)]","[array([669,  14,  70], dtype=int64), array([ 38, 720,   0], dtype=int64), array([227,   0, 512], dtype=int64)]",0.7162740899357601,0.9809264305177112,0.8797250859106529,0.8884462151394422,0.9498680738786279,0.6928281461434371,0.7931238885595732,0.9651474530831099,0.7751703255109765
